Variable,Diccionario.de.la.variable,Longitud,Tipo
CPRO,T_CPRO,2,A
CMUN,T_MUNI,3,A
NVIV,,7,A
NORDEN,,2,A
MNAC,T_MES,2,A
ANAC,,4,A
VAREDAD,,3,A
SEXO,T_SEXO,1,A
PNACIO,T_PAIS,3,A
PNACIM,T_PAIS,3,A
CPRO_NAC,T_CPRO,2,A
CMUN_NAC,T_MUNI,3,A
RESI_NACIM,T_RESNA,1,A
VARANORES,T_ANOL,4,A
VARANOM,T_ANOP,4,A
ANOP,T_ANOP,4,A
VARANOC,T_ANOP,4,A
VARANOE,T_ANOP,4,A
PAIS_PR,T_PAIS,3,A
PROV_PR,T_CPRO,2,A
CMUN_PR,T_MUNI,3,A
PAIS_ANT,T_PAIS,3,A
CPRO_ANT,T_CPRO,2,A
CMUN_ANT,T_MUNI,3,A
RESI_ANT,T_RESI,1,A
PAIS_UNANO,T_PAIS,3,A
CPRO_UNANO,T_CPRO,2,A
CMUN_UNANO,T_MUNI,3,A
RESI_UNANO,T_RESUN,1,A
PAIS_DANO,T_PAIS,3,A
CPRO_DANO,T_CPRO,2,A
CMUN_DANO,T_MUNI,3,A
RESI_DANO,T_RESUN,1,A
ECIVIL,T_CIVIL,1,A
ESREAL_CNEDA,T_CNEDA,2,A
ESCUR,T_ESCUR,2,A
ESCUR2,T_ESCUR,2,A
TESCUR,T_TSCUR,2,A
RELA,T_RELAC,1,A
OCU63,T_CNO,2,A
ACT89,T_CNAE,2,A
SITU,T_SITU,1,A
LTRAB,T_LUGAR,1,A
CPRO_TRAB,T_CPRO,2,A
CMUN_TRAB,T_MUNI,3,A
LEST,T_LUGAR,1,A
CPRO_EST,T_CPRO,2,A
CMUN_EST,T_MUNI,3,A
TIPO_EDIF_VIV,T_EDFV,1,A
SUP_VIV,T_SUPV,2,A
TENEN_VIV,T_REGTE,1,A
SUP_OCU_VIV,T_1SUPV,2,A
NPLANTAS_SOBRE_EDIF,T_NPSED,2,A
NPLANTAS_BAJO_EDIF,T_NPBED,1,A
ANO_CONS,T_ANOC,2,A
NORDEN_PAD,,2,A
NORDEN_MAD,,2,A
NORDEN_CON,,2,A
NORDEN_OPA,,2,A
FAMILIA,T_AUXIL,2,A
NUCLEO,T_AUXIL,2,A
TIPOPER,T_TIPPE,1,A
SEXO_MAD,T_SEXO,1,A
VAREDAD_MAD,T_EDAD,3,A
PNACIM_MAD_GR9,T_PAISG,2,A
NACIO_MAD_GR10,T_PAISG,2,A
ECIVL_MAD,T_CIVIL,1,A
ESREAL_MAD_GR5,T_ESTGR,1,A
RELA_MAD,T_RELAC,1,A
SITU_MAD,T_1SITU,1,A
SEXO_PAD,T_SEXO,1,A
VAREDAD_PAD,T_EDAD,3,A
PNACIM_PAD_GR9,T_PAISG,2,A
NACIO_PAD_GR10,T_PAISG,2,A
ECIVL_PAD,T_CIVIL,1,A
ESREAL_PAD_GR5,T_ESTGR,1,A
RELA_PAD,T_RELAC,1,A
SITU_PAD,T_1SITU,1,A
SEXO_CON,T_SEXO,1,A
VAREDAD_CON,T_EDAD,3,A
PNACIM_CON_GR9,T_PAISG,2,A
NACIO_CON_GR10,T_PAISG,2,A
ECIVL_CON,T_CIVIL,1,A
ESREAL_CON_GR5,T_ESTGR,1,A
RELA_CON,T_RELAC,1,A
SITU_CON,T_1SITU,1,A
TAM_HOG,T_TAMHN,1,N
FAM_HOG,T_NFAMI,1,N
NUC_HOG,T_NNUCL,1,N
ESTRUC_HOG,T_ESTHG,2,A
TIPO_HOG,T_THG,2,A
TIPO_NUC,T_TNUC,1,A
TAM_NUC,T_TAMHN,1,N
NHIJOS_NUC,T_NHIJO,1,N
TIPO_PAR_NUC1,T_1TPP,1,A
TIPO_PAR_NUC2,T_2TPP,1,A
ESCUR_MI,T_IMPUT,1,A
ESCUR2_MI,T_IMPUT,1,A
TESCUR_MI,T_IMPUT,1,A
L_EST_MI,T_IMPUT,1,A
CPRO_EST_MI,T_IMPUT,1,A
VARMUN_EST_MI,T_IMPUT,1,A
ESREAL_CNEDA_MI,T_IMPUT,1,A
RELA_MI,T_IMPUT,1,A
SITU_MI,T_IMPUT,1,A
ACT89_MI,T_IMPUT,1,A
OCU_MI,T_IMPUT,1,A
L_TRAB7_MI,T_IMPUT,1,A
CPRO_TRAB_MI,T_IMPUT,1,A
VARMUN_TRAB_MI,T_IMPUT,1,A
VARANORES_MI,T_IMPUT,1,A
VARANOM_MI,T_IMPUT,1,A
VARANOP_MI,T_IMPUT,1,A
VARANOC_MI,T_IMPUT,1,A
VARANOE_MI,T_IMPUT,1,A
PAIS_PR_MI,T_IMPUT,1,A
PROV_PR_MI,T_IMPUT,1,A
VARMUN_PR_MI,T_IMPUT,1,A
PAIS_UNANO_MI,T_IMPUT,1,A
CPRO_UNANO_MI,T_IMPUT,1,A
VARMUN_UNANO_MI,T_IMPUT,1,A
PAIS_DANO_MI,T_IMPUT,1,A
CPRO_DANO_MI,T_IMPUT,1,A
VARMUN_DANO_MI,T_IMPUT,1,A
ECIVIL_MI,T_IMPUT,1,A
PAD_MI,T_IMPUT,1,A
MAD_MI,T_IMPUT,1,A
CON_MI,T_IMPUT,1,A
OPA_MI,T_IMPUT,1,A
