cat,total2021,total2016,male2021,male2016,female2021,female2016
"De 0 a 4 años",126745,144985,64965,74229,61780,70756
"De 5 a 9 años",140330,148336,71628,76089,68702,72247
"De 10 a 14 años",148361,139898,76000,71240,72361,68658
"De 15 a 19 años",148669,135010,75582,68629,73087,66381
"De 20 a 24 años",169681,152440,84136,75317,85545,77123
"De 25 a 29 años",214120,189625,103267,90676,110853,98949
"De 30 a 34 años",227711,224800,111008,108339,116703,116461
"De 35 a 39 años",231742,256154,113099,125271,118643,130883
"De 40 a 44 años",252494,268423,123204,131017,129290,137406
"De 45 a 49 años",264498,250568,127895,120912,136603,129656
"De 50 a 54 años",248778,241461,118374,113001,130404,128460
"De 55 a 59 años",237974,210504,109978,96764,127996,113740
"De 60 a 64 años",203532,169570,92137,75118,111395,94452
"De 65 a 69 años",159972,153853,69218,65996,90754,87857
"De 70 a 74 años",143054,144143,59692,60098,83362,84045
"De 75 a 79 años",129827,118111,51860,47409,77967,70702
"De 80 a 84 años",98500,115699,37021,43461,61479,72238
"De 85 a 89 años",82181,76866,27837,25876,54344,50990
"De 90 a 94 años",40264,33194,11621,9246,28643,23948
"De 95 a 99 años",10733,8014,2407,1705,8326,6309
"100 y más años",1616,1327,285,207,1331,1120
