age_group,total2016,male2016,female2016,total2021,male2021,female2021
"total",51756,24341,27415,50802,23726,27076
"De 0 a 4 años",1955,980,975,177,900,870
"De 5 a 9 años",2244,1137,1107,2053,1014,1039
"De 10 a 14 años",2455,1279,1176,2343,1201,1142
"De 15 a 19 años",2623,1342,1281,264,1385,1255
"De 20 a 24 años",2948,1515,1433,2825,1469,1356
"De 25 a 29 años",2993,1542,1451,2894,1478,1416
"De 30 a 34 años",2977,1518,1459,271,1337,1373
"De 35 a 39 años",3145,1521,1624,2868,1384,1484
"De 40 a 44 años",3361,159,1771,314,1515,1625
"De 45 a 49 años",3749,1744,2005,3404,1573,1831
"De 50 a 54 años",4167,1907,226,3722,1692,203
"De 55 a 59 años",4132,1996,2136,4094,1851,2243
"De 60 a 64 años",3359,1568,1791,403,1907,2123
"De 65 a 69 años",281,1306,1504,3196,146,1736
"De 70 a 74 años",248,1061,1419,2653,1193,146
"De 75 a 79 años",1945,794,1151,2286,941,1345
"De 80 a 84 años",2063,803,126,1694,641,1053
"De 85 a 89 años",1447,487,960,1509,520,989
"De 90 a 94 años",717,208,509,741,215,526
"De 95 a 99 años",163,40,123,203,47,156
"100 y mñs años",23,3,20,27,3,24
