age;segoT;segoH;segoM;lalasT;lalasH;lalasM;palazT;palazH;palazM;sancrT;sancrH;sancrM
tot;50802;23726;27076;4348;2213;2135;5743;2981;2762;3110;1561;1549
0;345;193;152;38;23;15;38;24;14;16;10;6
1;331;159;172;41;25;16;42;21;21;16;9;7
2;357;182;175;47;21;26;58;34;24;22;10;12
3;339;158;181;45;26;19;67;29;38;21;6;15
4;398;208;190;47;26;21;64;35;29;32;15;17
5;426;208;218;63;37;26;56;32;24;33;15;18
6;387;177;210;42;19;23;76;37;39;27;12;15
7;445;230;215;76;41;35;91;41;50;24;12;12
8;375;190;185;72;34;38;63;31;32;32;19;13
9;420;209;211;56;34;22;94;51;43;39;22;17
10;453;234;219;67;42;25;89;44;45;34;16;18
11;460;235;225;58;29;29;108;55;53;39;15;24
12;449;232;217;65;37;28;87;32;55;44;24;20
13;501;251;250;47;23;24;104;54;50;46;23;23
14;480;249;231;64;34;30;87;47;40;36;22;14
15;499;258;241;48;27;21;78;42;36;57;33;24
16;512;264;248;44;30;14;93;44;49;54;27;27
17;526;277;249;47;20;27;78;40;38;47;18;29
18;551;305;246;50;23;27;72;36;36;62;35;27
19;552;281;271;35;18;17;63;37;26;59;34;25
20;579;288;291;53;26;27;80;37;43;51;24;27
21;515;279;236;48;27;21;57;28;29;51;28;23
22;582;297;285;47;25;22;40;25;15;51;27;24
23;557;309;248;53;29;24;36;15;21;59;33;26
24;592;296;296;53;24;29;35;21;14;62;32;30
25;585;294;291;38;18;20;40;21;19;45;22;23
26;545;285;260;42;26;16;42;19;23;34;13;21
27;571;295;276;46;25;21;38;15;23;37;22;15
28;592;301;291;37;16;21;31;17;14;29;15;14
29;601;303;298;48;22;26;48;30;18;29;18;11
30;557;303;254;42;22;20;51;31;20;32;15;17
31;550;272;278;39;15;24;40;20;20;31;16;15
32;572;276;296;49;21;28;62;30;32;27;12;15
33;515;228;287;58;29;29;65;30;35;26;9;17
34;516;258;258;64;38;26;47;26;21;29;16;13
35;545;250;295;47;24;23;57;29;28;34;13;21
36;584;289;295;60;34;26;78;44;34;33;17;16
37;576;275;301;64;25;39;78;37;41;28;15;13
38;594;289;305;77;37;40;81;35;46;21;9;12
39;569;281;288;62;30;32;111;45;66;33;15;18
40;630;315;315;65;34;31;93;54;39;32;17;15
41;592;276;316;88;37;51;137;77;60;27;14;13
42;652;314;338;86;42;44;144;80;64;36;14;22
43;612;291;321;76;36;40;141;63;78;50;19;31
44;654;319;335;81;34;47;121;62;59;51;32;19
45;679;291;388;89;42;47;166;80;86;54;30;24
46;669;303;366;88;46;42;134;83;51;53;27;26
47;696;323;373;68;34;34;152;77;75;69;31;38
48;693;339;354;72;39;33;120;70;50;69;34;35
49;667;317;350;73;40;33;124;65;59;85;35;50
50;728;349;379;78;46;32;113;61;52;61;29;32
51;706;317;389;57;27;30;107;57;50;90;36;54
52;766;344;422;73;32;41;93;44;49;76;47;29
53;714;304;410;70;30;40;89;51;38;84;41;43
54;808;378;430;72;40;32;121;69;52;81;42;39
55;799;357;442;68;32;36;113;60;53;83;44;39
56;786;363;423;55;21;34;87;40;47;56;30;26
57;843;375;468;70;36;34;68;41;27;67;36;31
58;832;382;450;76;44;32;69;42;27;59;35;24
59;834;374;460;54;23;31;54;25;29;39;21;18
60;818;378;440;70;43;27;66;31;35;40;14;26
61;782;362;420;53;30;23;50;24;26;30;16;14
62;851;415;436;54;24;30;63;33;30;39;24;15
63;755;368;387;67;29;38;58;32;26;32;18;14
64;824;384;440;61;28;33;55;30;25;26;17;9
65;725;326;399;48;25;23;51;27;24;25;12;13
66;693;307;386;43;27;16;37;28;9;18;7;11
67;584;264;320;49;24;25;32;13;19;14;8;6
68;615;297;318;35;18;17;43;19;24;19;13;6
69;579;266;313;40;20;20;36;22;14;20;8;12
70;543;252;291;30;10;20;29;16;13;21;10;11
71;537;246;291;27;18;9;29;17;12;14;5;9
72;561;246;315;22;14;8;38;22;16;12;3;9
73;522;234;288;21;10;11;20;14;6;9;4;5
74;490;215;275;16;10;6;30;17;13;6;3;3
75;453;192;261;23;13;10;30;19;11;8;2;6
76;466;199;267;21;11;10;17;9;8;4;3;1
77;468;198;270;14;8;6;22;17;5;9;5;4
78;483;203;280;12;6;6;13;5;8;10;8;2
79;416;149;267;15;6;9;13;6;7;1;0;1
80;338;122;216;9;7;2;7;5;2;2;1;1
81;430;173;257;15;9;6;13;8;5;9;4;5
82;294;106;188;5;3;2;13;7;6;1;1;0
83;300;118;182;6;5;1;8;2;6;6;1;5
84;332;122;210;3;1;2;14;5;9;3;2;1
85;350;127;223;12;4;8;11;4;7;6;1;5
86;313;112;201;5;2;3;13;9;4;2;0;2
87;308;113;195;8;3;5;13;5;8;2;1;1
88;293;97;196;8;1;7;6;1;5;3;2;1
89;245;71;174;5;2;3;9;2;7;5;3;2
90;197;60;137;0;0;0;8;2;6;2;1;1
91;166;51;115;4;2;2;7;2;5;4;2;2
92;145;47;98;3;2;1;5;3;2;2;0;2
93;148;36;112;2;0;2;2;1;1;2;0;2
94;85;21;64;1;1;0;3;0;3;0;0;0
95;83;22;61;0;0;0;3;2;1;0;0;0
96;45;12;33;2;0;2;0;0;0;0;0;0
97;24;3;21;1;0;1;2;0;2;0;0;0
98;29;7;22;0;0;0;1;0;1;0;0;0
99;22;3;19;0;0;0;2;0;2;0;0;0
100;27;3;24;0;0;0;0;0;0;0;0;0
