sex_age,freq2016,freqmale2016,freqfemale2016,freq2021,freqmale2021,freqfemale2021
1,0.04160017,0.020853282,0.020746888,0.038190174,0.019418733,0.018771442
2,0.047749761,0.024194063,0.023555697,0.044296287,0.021878439,0.022417848
3,0.0522396,0.027215661,0.025023939,0.050553434,0.02591322,0.024640214
4,0.055814448,0.028556229,0.027258219,0.056961616,0.029883272,0.027078344
5,0.062730078,0.032237472,0.030492606,0.060953244,0.031695687,0.029257557
6,0.063687626,0.032812001,0.030875625,0.062442014,0.031889874,0.030552139
7,0.063347165,0.032301309,0.031045856,0.058471962,0.028847606,0.029624355
8,0.066922013,0.032365145,0.034556868,0.061881028,0.029861695,0.032019332
9,0.071518247,0.003383339,0.03768486,0.0677498,0.0326882,0.035061601
10,0.079774444,0.037110331,0.042664113,0.073445962,0.033939629,0.039506333
11,0.088669007,0.040578785,0.004809022,0.04088722,0.036507217,0.004380003
12,0.087924247,0.042472603,0.045451644,0.088333657,0.03993786,0.048395797
13,0.071475689,0.033365252,0.038110437,0.086952769,0.041146137,0.045806633
14,0.00597936,0.02779019,0.032003405,0.040606728,0.00315015,0.037456578
15,0.005277157,0.02257687,0.030194702,0.028890759,0.025740609,0.00315015
16,0.041387382,0.016895414,0.024491967,0.049323581,0.020303364,0.029020217
17,0.043898287,0.017086924,0.002681136,0.03655037,0.013830453,0.022719917
18,0.03079051,0.010362805,0.020427705,0.032558742,0.011219712,0.021339029
19,0.015256942,0.004426003,0.010830939,0.01598809,0.004638919,0.01134917
20,0.003957868,0.000914991,0.003042877,0.004962565,0.001078818,0.003883747
