Desc,Tipohog,index,Freq.,Total
Uni -65,1.1.1,1,0.205246299505312,4136.680447
Uni +65,1.1.2,2,0.0867889985971211,1749.207437
Uni con menor,1.2,3,0.00267572594921677,53.928491
2 adultos y 1 menor,2.1.1,4,0.134071815430806,2702.179083
2 adultos y 2 menores,2.1.2,5,0.158096578681443,3186.391313
2 adultos y 3 o más menores,2.1.3,6,0.0344397422956682,694.123153
2 adultos uno al menos de 65 o más años sin menores,2.2.1,7,0.149997004519624,3023.146713
3 y más  uno al menos de 65 o más años sin menores,2.2.2,8,0.0625887452345269,1261.458254
2 adultos de 16 a 64 años sin menores,2.3.1,9,0.104745239091029,2111.110327
3 y más  adultos de 16 a 64 años,2.3.2,10,0.0613498506952535,1236.488689
