niveles,TENENCIA,proporción
hasta 17816.64,CASERO,0.00663321262253019
hasta 17816.64,INQUILINA,0.337111798607051
hasta 17816.64,PROPIETARIO,0.656254988770419
entre 17816.64 y 31539.44,CASERO,0.0166524977191788
entre 17816.64 y 31539.44,INQUILINA,0.116778501350198
entre 17816.64 y 31539.44,PROPIETARIO,0.866569000930624
entre 31539.44 y 65085.82,CASERO,0.0683275856425595
entre 31539.44 y 65085.82,INQUILINA,0.0527383443365508
entre 31539.44 y 65085.82,PROPIETARIO,0.87893407002089
mas de 65085.82,CASERO,0.250479884916049
mas de 65085.82,INQUILINA,0.00890303310033338
mas de 65085.82,PROPIETARIO,0.740617081983618
