Start.time,Completion.time,Name,Age,Gender,Nationality,Employment.status,Duration.of.your.studies.in.Segovia.,Type.of.home.you.live.in.,Square.footage.of.the.property.,Number.of.roommates,Area.or.neighborhood.in.Segovia.where.you.live,Email,Duration of your lease,How long do you      expect to stay in your current residence?,How much do you pay monthly in your rental contract,"Which services and costs are included in the contract (internet, gas, water..)","Do you have any other service contracted (laundry, cleaning...) Please list them",What are the monthly cost of these services,Did you find the appartment thorugh a platform/portal/agency? ,Which one? ,What were the main difficulties you encountered when searching for housing?
1970-01-01 12:41:12.488113,45670.6344482954,,19,Man,Italy,Only studying,1 semester,Rental with a company,105,3,San Facundo,,1 year,I will move to another residence for the duration of my studies.,1880,Full board,"Full Board, bedroom cleaning, bed linen and towel laundry service",included,Yes,Beyond IE,High prices;
1970-01-01 12:40:45.428924,45623.0530977252,,19,Woman,Philippines,Only studying,2 years,Rental with a private landlord,300,0,Factory,anonymous,,I will stay only as long as my studies last,650,Gas electric unit,Dios me al laundry,-,,vizcainos,High prices;
1970-01-01 12:41:17.564988,45669.1988040972,,18,Woman,France,Only studying,4 years,Family home ,95,2,Acueducto,,1 year,I will move to another residence for the duration of my studies.,1350,,"Full Board, bedroom cleaning, bed linen and towel laundry service",Included,,Beyond IE,NA;
1970-01-01 12:41:06.476806,45660.7900309361,,18,Woman,Belgium,Only studying,2 yeats,Rental with a private landlord,Studio,4,Center (San Nicolás),anonymous,9 months,I will move to another residence for the duration of my studies.,1300,,No,Included,Yes,Betina camous,Availability;
1970-01-01 12:40:15.778484,45625.1040180084,,20,Man,India,Only studying,9 months,Student residence ,300m2,1,"Residencia al lado,  center",anonymous,10 month,I will move to another residence for the duration of my studies.,1350,Internet agua electricidad,"all included, cleaning, full board, manteinance, bed linen and towels laundry",50€ each full cleaning manteinance included,No,,NA;
1970-01-01 12:41:17.525359,45677.5885532407,,19,Woman,France,Only studying,2 years,Family home ,15,2,San Lorenzo,anonymous,10 mints academic year,I will stay only as long as my studies last,1100,Wi-Fi water everything,Everything included,100,Yes,Housing platform (dont remember name),High prices;None met my expectations;
1970-01-01 12:41:17.56162,45616.9003368756,,18,Man,Brazil,Only studying,1 semester,Student residence ,60m2,2,San Lorenzo,,Año académico.,I will stay only as long as my studies last,500,Yes,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",included,No,Beyond campus,Availability;
1970-01-01 12:41:17.58191,45677.5885532407,,18,Woman,Mexico,Only studying,2 yesrs,Student residence ,105,0,Acueduxt San lorenzo,anonymous,Academics year,I will move to another residence for the duration of my studies.,700,Yes,cleaning and maintenance,NA,Yes,Te tal Agency,High prices;
1970-01-01 12:41:17.529201,45677.5885532407,,22,Woman,USA,Only studying,4 years,Rental with a private landlord,110,1,Villaroma,,Study year,I will move to another residence for the duration of my studies.,1100,All foo,cleaning and maintenance,included,Yes,vizcainos,High prices;
1970-01-01 12:41:12.497361,45669.1988040972,,20,Woman,Lebanese,Only studying,1 semester,Student residence ,10,0,Acueducto,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,730,all,"Daily cleaning, laundry, full board and parking",Included,Yes,Beyond IE,High prices;
1970-01-01 12:41:17.577187,45674.1210127769,,18,Man,Germany,Only studying,6 month,Student residence ,80,3,Center,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,1000,All,Cleaning,included,No,Beyind campos,High prices;None met my expectations;
1970-01-01 12:41:06.476806,45663.8664113609,,20,Man,France,Only studying,2 years,Rental with a private landlord,20m2,5,Center,,6 month,I will stay only as long as my studies last,1880,No,weekly cleaning and optional laundry,50€ each full cleaning manteinance included,,Vizcaínos idealista,High prices;None met my expectations;
1970-01-01 12:41:17.58191,45664.2765954175,,18,Woman,Italian,Only studying,2 years,Rental with a private landlord,15,2,On campus,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,1100,Gas electric unit,manteinance and cleaning,NA,No,Beyind campos,High prices;Availability;
1970-01-01 12:41:06.52463,45657.9187425396,,20,Woman,India,Only studying,2,Rental with a company,300m2,0,San Lorenzo,anonymous,1 year study,I will stay only as long as my studies last,590,No,manteinance and cleaning,included,No,Beyond campus,High prices;
1970-01-01 12:41:06.52463,45656.4830983414,,18,Woman,USA,Only studying,1 year a half,Rental with a private landlord,12m2,3,Acueducto,,6 month,I will move to another residence for the duration of my studies.,500,,Cleaning,Included,,beyond campus,High prices;
1970-01-01 12:41:06.52463,45629.8211346598,,20,Woman,Italy,Only studying,6 month,Rental with a private landlord,50m2,3,Acueducto,anonymous,1 year study,I will stay only as long as my studies last,400,No,"Full Board, bed linen and towel laundry service",laundry for 25€,,IE,Availability;High prices;
1970-01-01 12:40:18.882222,45666.1224236724,,20,Man,USA,Only studying,4 years,Rental with a company,147,0,On campus,,Año académico.,I will stay only as long as my studies last,900,yes,"Full Board, weekly bed linen and towel laundry service and cleaning",100,,vizcainos,Availability;
1970-01-01 12:41:17.564988,45671.4548164087,,19,Woman,Hungary,Only studying,2 year,Student residence ,20,0,Center,,5 months,I will stay only as long as my studies last,700,All,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",laundry for 25€,Yes,Betina camous,High prices;None met my expectations;
1970-01-01 12:41:06.52463,45677.5885532407,,18,Woman,Canada,Only studying,6 month,Rental with a private landlord,20m2,1,Center,anonymous,1 academic year,I will stay only as long as my studies last,400,No,"towel and bed linen laundry, breakfast, lunch and dinner",included,,Friend,Availability;
1970-01-01 12:41:06.529549,45621.2072694703,,19,Man,Spain,Only studying,4 years,Student residence ,Studio,1,Calle Juan bravo,,10 months,I will stay only as long as my studies last,275,No,,Included,,Beyond ie,High prices;Availability;
1970-01-01 12:40:23.657188,45668.9937120689,,18,Woman,Danish,Only studying,9 months,Rental with a private landlord,60m2,1,Acueduxy,anonymous,1 year study,I will stay only as long as my studies last,1880,Internet agua electricidad,Cleaning Laundry,Included,No,Vizcaínos idealista,NA;
1970-01-01 12:41:11.461725,45673.3006446636,,18,Woman,Colombia,Only studying,1 year a half,Rental with a private landlord,130,3,Factory,anonymous,10 month,I will move to another residence for the duration of my studies.,500,Full board,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",,,,Availability;High prices;
1970-01-01 12:41:12.497361,45674.3261048052,,20,Woman,Belgium,Only studying,2 years,Rental with a private landlord,50m2,2,center,,9 month,I will stay only as long as my studies last,1100,All foo,"Daily cleaning, laundry, full board and parking",included,Yes,Ie,High prices;Availability;
1970-01-01 12:40:18.890069,45622.4378216403,,18,Prefer not to say,Brazil,Only studying,2 yeas,Rental with a private landlord,80,0,Center (San Nicolás),,1 academic year,I will stay only as long as my studies last,1880,,Laundry and cleaning,,,IE,
1970-01-01 12:41:06.52463,45677.5885532407,,18,Man,Brazil,Only studying,2 years,Rental with a private landlord,300m2,2,Center,,6 month,I will stay only as long as my studies last,1500,Yes,"Manteinance, cleaning once a week and information",100,Yes,Housing platform (dont remember name),Availability;High prices;
1970-01-01 12:40:18.885683,45677.5885532407,,19,Man,Belgium,Only studying,6 months,Rental with a private landlord,Studio,1,Acueduxy,,Study year,I will stay only as long as my studies last,820,Gas electric unit,Limpieza opcional,NA,No,Inn family,Availability;
1970-01-01 12:41:17.525359,45620.1818093288,,19,Man,Colombia,Only studying,2 años,Student residence ,300m2,0,Center,,1 academic year,I will stay only as long as my studies last,1300,Gas electric unit,"towel and bed linen laundry, breakfast, lunch and dinner",100,,Idealista,Availability;High prices;
1970-01-01 12:40:23.657188,45668.5835280122,,19,Man,Canada,Only studying,2 years,Rental with a private landlord,85 70,0,San Lorenzo,,1 curso académico,I will move to another residence for the duration of my studies.,1500,Full board,Limpieza opcional,laundry for 25€,No,Strident houses,Availability;
1970-01-01 12:41:06.493299,45665.9173316441,,20,Man,Belgium,Only studying,2 years,Rental with a private landlord,80,0,Center,,1 academic year,I will move to another residence for the duration of my studies.,590,Yes,Breakfast cleaning gym,-,,Strident houses,High prices;None met my expectations;
1970-01-01 12:41:12.497361,45621.617453527,,17,Man,El Salvador,Only studying,2,Rental with a private landlord,75m,3,Acueducto,,Año académico.,I will stay only as long as my studies last,1540,No,cleaning and maintenance,-,Yes,Friend,High prices;Availability;
1970-01-01 12:41:06.476806,45669.1988040972,,21,Woman,France,Only studying,1 year a half,Rental with a private landlord,80m2,3,Center,anonymous,Academic year,I will stay only as long as my studies last,400,yes,Cleaning,Included,,Beyond campus,High prices;None met my expectations;
1970-01-01 12:41:06.48375,45677.5885532407,,21,Woman,Spain,Only studying,2 alis,Rental with a private landlord,105,1,Acueduxt San lorenzo,anonymous,10 month,I will move to another residence for the duration of my studies.,,Wi-Fi water everything,Limpieza opcional,laundry for 25€,No,beyond ie,
1970-01-01 12:41:17.529201,45677.5885532407,,20,Man,France,Only studying,2 year,Rental with a private landlord,130,2,Center,anonymous,1 year,I will move to another residence for the duration of my studies.,1150,Yes,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",included,,Beyond camous,NA;
1970-01-01 12:41:13.691042,45611.7920601852,,20,Woman,France,Only studying,2 years,Rental with a private landlord,Studio,1,Center,anonymous,1 year study,I will move to another residence for the duration of my studies.,1350,all,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",50€ each full cleaning manteinance included,,Beyind campos,High prices;None met my expectations;
1970-01-01 12:41:17.578461,45667.3529758423,,21,Man,Italy,Only studying,6 month,Student residence ,95,3,Acueducto,anonymous,9 month,I will move to another residence for the duration of my studies.,900,No,50!yhree montha,laundry for 25€,,Housing platform (dont remember name),
1970-01-01 12:40:29.819375,45677.5885532407,,18,Woman,El Salvador,Only studying,2 year,Student residence ,80,1,San Facundo,,9  months,I will stay only as long as my studies last,275,Everything,50!yhree montha,NA,No,Beyond IE,NA;
1970-01-01 12:40:45.428924,45676.3770250884,,20,Man,Italy,Only studying,1 year,Student residence ,Studio,0,Centre,,,I will stay only as long as my studies last,1150,Yes,Everything included,50€ each full cleaning manteinance included,Yes,vizcainos,High prices;None met my expectations;
1970-01-01 12:41:12.491157,45670.2242642388,,18,Man,Brazil,Only studying,2 years,Rental with a company,110,0,San Lorenzo,anonymous,10 month,I will move to another residence for the duration of my studies.,1000,Internet agua electricidad,All but cleaning,laundry for 25€,Yes,,NA;
1970-01-01 12:41:17.525359,45677.5885532407,,19,Man,Hungary,Only studying,2 year,Rental with a private landlord,300m2,0,center,anonymous,9 months,I will stay only as long as my studies last,1540,yes,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",NA,Yes,Te tal Agency,
1970-01-01 12:41:17.540301,45650.5354295201,,20,Man,USA,Only studying,1 semester,Rental with a company,80,1,Acueducto,,1 academic year,I will stay only as long as my studies last,900,yes,"Full Board, bed linen and towel laundry service",NA,No,,High prices;None met my expectations;
1970-01-01 12:40:18.885683,45676.787209145,,18,Man,Portuguese,Only studying,1 semester,Student residence ,90,3,Center,,Academics year,I will move to another residence for the duration of my studies.,500,All foo,Cleaning,100,,vizcainos,High prices;Availability;
1970-01-01 12:40:23.657188,45674.9413808902,,18,Woman,Germany,Only studying,2 years,Rental with a private landlord,147,4,Center,anonymous,1 curso académico,I will move to another residence for the duration of my studies.,1400,all,weekly cleaning and optional laundry,included,No,Beyind campos,Availability;High prices;
1970-01-01 12:41:17.524005,45665.7122396158,,18,Man,Germany,Only studying,9 months,Rental with a company,105,2,Acueducto,,9 month,I will stay only as long as my studies last,900,all,1100 limpieza y comida,included,No,beyond ie,
1970-01-01 12:40:29.810937,45677.5885532407,,22,Woman,Seitzerlan turkey,Only studying,2 yesrs,Rental with a private landlord,20m2,2,San Nicolás,,9 month,I will move to another residence for the duration of my studies.,,All foo,"Full Board, weekly bed linen and towel laundry service and cleaning",50€ each full cleaning manteinance included,,Te tal Agency,High prices;None met my expectations;
1970-01-01 12:41:06.513125,45611.7920601852,,19,Man,Hungary,Only studying,6 month,Rental with a private landlord,20,3,Center (San Nicolás),,Ayuden year,I will move to another residence for the duration of my studies.,750,All foo,Limpieza opcional,50€ each full cleaning manteinance included,,beyond ie,High prices;None met my expectations;
1970-01-01 12:41:06.52463,45663.4562273042,,20,Man,Belgium,Only studying,2 year,Rental with a private landlord,10,3,San Lorenzo,,Academics year,I will move to another residence for the duration of my studies.,960,Full board,"Daily cleaning, laundry, full board and parking",50€ each full cleaning manteinance included,No,IE,High prices;None met my expectations;
1970-01-01 12:41:17.578461,45677.5885532407,,20,Man,Española,Only studying,1 year a half,Student residence ,80m2,0,Factory,,10 months,I will stay only as long as my studies last,1250,all,Laundry and cleaning,50€ each full cleaning manteinance included,No,Betina camous,NA;
1970-01-01 12:40:18.885683,45677.5885532407,,18,Woman,USA,Only studying,2 year,Rental with a private landlord,15,0,Acueduct,,1 curso académico,I will stay only as long as my studies last,875,Internet agua electricidad,50!yhree montha,,Yes,Beyond camous,Availability;
1970-01-01 12:41:17.578461,45674.9413808902,,19,Man,French lebanese,Only studying,9 months,Rental with a private landlord,130,1,Villaroma,anonymous,6 month,I will move to another residence for the duration of my studies.,1400,Wi-Fi water everything,50!yhree montha,included,Yes,Beyond IE,NA;
1970-01-01 12:41:06.52463,45611.7920601852,,19,Man,Italian,Only studying,1 semester,Rental with a private landlord,12m2,0,center,,10 month,I will move to another residence for the duration of my studies.,1050,No,No,,Yes,Beyond IE,High prices;None met my expectations;
1970-01-01 12:41:12.491157,45668.7886200406,,20,Woman,Argentina,Only studying,2 years,Rental with a private landlord,300m2,2,center,,9  months,I will stay only as long as my studies last,1350,all,Cleaning once a week,100,,IE,High prices;
1970-01-01 12:41:12.502083,45677.5885532407,,20,Woman,Ireland,Only studying,9 months,Student residence ,95,0,San Facundo,,1 year,I will stay only as long as my studies last,,Gas electric unit,All,included,No,Strident houses,Availability;
1970-01-01 12:41:06.52463,45671.659908437,,18,Man,Mexico,Only studying,2 year,Student residence ,Studio,4,Center,anonymous,6 month,I will move to another residence for the duration of my studies.,,Everything,,100,,Beyind campos,
1970-01-01 12:41:12.494572,45629.4109506031,,18,Woman,Seitzerlan turkey,Only studying,6 month,Rental with a private landlord,15,0,"Residencia al lado,  center",,1 year,I will move to another residence for the duration of my studies.,1250,Everything,None,,,Idealista,NA;
