property-title,price_with_tax,property-type,beds_rooms
Habitación en Segovia,70 € en,,
Apartamento en Torrecaballeros,152 € en,,
Apartamento en Segovia,340 € en,,La Ventana de la Catedral 3 Dormitorios
Apartamento en Segovia,269 € en,,
Apartamento en Cercedilla,167 € en,,
Apartamento en Segovia,312 € en,,
Apartamento en Torrecaballeros,152 € en,,
Apartamento en Segovia,322 € en,Apartamento con vistas panorámicas en Segovia,
Apartamento en Segovia,135 € en,,
Habitación en Segovia,59 € en,,
Apartamento en Segovia,363 € en,,
Apartamento en Palazuelos de Eresma,214 € en,"Apartamento con piscina privada ,5 min de Segovia!",
Apartamento en Segovia,532 € en,Precioso apartamento de 3 dormitorios en Segovia Capital,Precioso apartamento de 3 dormitorios en Segovia Capital
Apartamento en Rascafría,216 € en,,1 cama doble
Apartamento en Segovia,460 € en,,
Apartamento en Segovia,469 € en,,
Habitación en Torrecaballeros,117 € en,Habitación privada/tranquila en lugar estratégico,
Apartamento en Real Sitio de San Ildefonso,334 € en,,
Apartamento en El Boalo,269 € en,Loft en casa Basilia,2 camas
Apartamento en Los Ángeles de San Rafael,258 € en,,
Apartamento en Roda de Eresma,499 € en,,
Apartamento en Roda de Eresma,375 € en,,
Apartamento en El Espinar,386 € en,,
Apartamento en Valsaín,562 € en,Amplio y Luminoso Apartamento.,
Apartamento en Cercedilla,316 € en,La Holandesa tu casa en Cercedilla,3 camas
Apartamento en Cabañas de Polendos,281 € en,,
Apartamento en Segovia,312 € en,,
Apartamento en El Boalo,164 € en,,2 camas
Apartamento en Segovia,392 € en,,
Apartamento en Segovia,382 € en,Apartamento Superior vistas 1 cama centro ciudad,Apartamento Superior vistas 1 cama centro ciudad
Apartamento en Cabañas de Polendos,281 € en,,
Apartamento en Cercedilla,190 € en,Apartamento en Puerto de Navacerrada,
Apartamento en Segovia,345 € en,Nuevo apartamento 2 o 3 personas,
Apartamento en Cercedilla,258 € en,,3 camas
Apartamento en Torrecaballaros,258 € en,,
Apartamento en Manzanares El Real,260 € en,,5 camas
"Apartamento en  Puerto de Navacerrada, Cercedilla",258 € en,,
Apartamento en Real Sitio de San Ildefonso,375 € en,"Casa Heras, en centro de San Ildefonso",
Apartamento en Los Molinos,211 € en,Apartamento Rural,
Apartamento en Segovia,442 € en,,
Apartamento en Torrecaballeros,258 € en,,
Apartamento en Guadarrama,340 € en,,
Apartamento en Navacerrada,386 € en,,
Apartamento en Segovia,586 € en,,
Apartamento en Martín Miguel,1.160 € en,,
Apartamento en Navacerrada,656 € en,Apartamento nòrdico en Navacerrada,
Apartamento en Rascafría,258 € en,,2 camas
Apartamento en Roda de Eresma,890 € en,Apartamento Tierra y Naturaleza,
Apartamento en Rascafría,246 € en,Casa de campo,4 camas
Apartamento en Cercedilla,519 € en,Apartamento Navacerrada con encanto,
Apartamento en Bernuy de Porreros,222 € en,,
Habitación en Segovia,94 € en,resto habitación,
Apartamento en Manzanares el Real,159 € en,,2 camas
Apartamento en El Espinar,263 € en,Apartamento en El Espinar,
Apartamento en Manzanares el Real,211 € en,,1 cama
Apartamento en Rascafría,246 € en,,2 camas
Apartamento en Madrona,370 € en,apartamento superior,
Apartamento en La Lastrilla,263 € en,,
Apartamento en Navacerrada,433 € en,Apartamento en Navacerrada,
Habitación en Cercedilla,80 € en,"Habitación sencilla para dormir, ideal para amantes de la naturaleza",
Apartamento en Sotosalbos,386 € en,Apartamento Rural en Sotosalbos,
Apartamento en El Boalo,321 € en,Montesclaros Apartamento,3 camas
Apartamento en Collado Mediano,196 € en,,1 cama
Apartamento en Becerril de la Sierra,170 € en,,1 cama
Apartamento en Guadarrama,363 € en,,
Apartamento en Navacerrada,351 € en,Apartamento en Navacerrada,
Apartamento en Madrona,250 € en,apartamento estandar,
Apartamento en Cercedilla,281 € en,,2 camas
Apartamento en Comunidad de Madrid,208 € en,,
Apartamento en Rascafría,386 € en,Casa/Dúplex en Rascafría. Estupendas vistas a la m,5 camas
Apartamento en Cercedilla,255 € en,,1 cama
Habitación en Cercedilla,239 € en,,
Apartamento en Guadarrama,550 € en,,
Apartamento en Navas de San Antonio,468 € en,APARTAMENTOS LA HUERTA DEL RODEO,
